A009;Choléra, sans précision
A010;Fièvre typhoïde
A011;Paratyphoïde A
A012;Paratyphoïde B
A013;Paratyphoïde C
A020;Entérite à Salmonella
A021;Septicémie à Salmonella
A028;Autres infections précisées à Salmonella
A029;Salmonellose, sans précision
A032;Shigellose à Shigella boydii
A033;Shigellose à Shigella sonnei
A039;Shigellose, sans précision
A041;Infection entérotoxigène à Escherichia coli
A042;Infection entéro-invasive à Escherichia coli
A045;Entérite à Campylobacter
A046;Entérite à Yersinia enterocolitica
A047;Entérocolite à Clostridium difficile
A061;Amibiase intestinale chronique
A063;Amobome (de l'intestin)
A065;Abcès amibien du poumon (J99.8*)
A067;Amibiase cutanée
A070;Balantidiose
A071;Giardiase [lambliase]
A080;Entérite à rotavirus
A084;Infections intestinales virales, sans précision
A157;Primo-infection tuberculeuse de l'appareil respiratoire, avec confirmation bactériologique et histologique
A167;Primo-infection tuberculeuse de l'appareil respiratoire, (sans mention de confirmation bactériologique ou histologique)
A178;Autres formes de tuberculose du système nerveux
A183;Tuberculose de l'intestin, du péritoine et des ganglions mésentériques
A192;Tuberculose miliaire aiguë, sans précision
A201;Peste cutanée
A202;Peste pulmonaire
A209;Peste, sans précision
A211;Tularémie oculo-glandulaire
A218;Autres formes de tularémie
A220;Charbon cutané
A228;Autres formes de charbon
A233;Brucellose à Brucella canis
A242;Mélioïdose subaiguë et chronique
A244;Mélioïdose, sans précision
A251;Streptobacillose
A269;Érysipéloïde, sans précision
A279;Leptospirose, sans précision
A304;Lèpre lépromateuse de type intermédiaire atypique
A308;Autres formes de lèpre
A319;Infection à mycobacteries atypiques, sans précision
A328;Autres formes de listériose
A33;Tétanos néonatal
A361;Diphtérie rhinopharyngée
A369;Diphtérie, sans précision
A38;Scarlatine
A392;Méningococcémie aiguë
A394;Méningococcémie, sans précision
A408;Autres septicémies à streptocoques
A411;Septicémie à d'autres staphylocoques précisés
A419;Septicémie, sans précision
A420;Actinomycose pulmonaire
A422;Actinomycose cervico-faciale
A431;Nocardiose cutanée
A439;Nocardiose, sans précision
A46;Érysipèle
A480;Gangrène gazeuse
A488;Autres maladies bactériennes précisées
A498;Autres infections bactériennes, siège non précisé
A501;Syphilis congénitale précoce, latente
A509;Syphilis congénitale, sans précision
A510;Syphilis génitale primaire
A511;Syphilis anale primaire
A513;Syphilis secondaire de la peau et des muqueuses
A515;Syphilis précoce, latente
A519;Syphilis précoce, sans précision
A520;Syphilis cardio-vasculaire
A523;Syphilis nerveuse, sans précision
A528;Syphilis tardive, latente
A529;Syphilis tardive, sans précision
A530;Syphilis latente, (non précisée précoce ou tardive)
A544;Infection gonococcique du système ostéo-articulaire et des muscles
A549;Infection gonococcique, sans précision
A564;Infection à Chlamydia du pharynx
A58;Granulome inguinal
A590;Trichomonase uro-génitale
A6300;Condylomes anaux (vénériens)
A6308;Autres condylomes ano-génitaux (vénériens)
A661;Papillomes multiples et pian plantaire humide (pian-crabe)
A666;Lésions ostéo-articulaires pianiques
A668;Pian latent
A671;Lésions intermédiaires de la pinta
A673;Lésions mixtes de la pinta
A692;Maladie de Lyme
A70;Infection à Chlamydia psittaci
A748;Autres infections à Chlamydia précisées
A752;Typhus à Rickettsia typhi
A770;Fièvre pourprée à Rickettsia rickettsii
A779;Fièvre pourprée, sans précision
A799;Rickettsiose, sans précision
A809;Poliomyélite aiguë, sans précision
A811;Panencéphalite sclérosante subaiguë
A820;Rage sylvatique
A829;Rage, sans précision
A836;Maladie à virus de Rocio
A850;Encéphalite à entérovirus (G05.1*)
A86;Encéphalite virale, sans précision
A871;Méningite à adénovirus (G02.0)
A878;Autres méningites virales
A90;Dengue [dengue classique]
A922;Fièvre équine vénézuélienne
A924;Fièvre de la vallée du Rift
A932;Fièvre à tiques du Colorado
A951;Fièvre jaune citadine
A959;Fièvre jaune, sans précision
A962;Fièvre de Lassa
A968;Autres fièvres hémorragiques à arénavirus
A984;Maladie à virus Ebola
B000;Eczéma herpétique
B004;Encéphalite due au virus de l'herpès (G05.1*)
B011;Encéphalite varicelleuse (G05.1*)
B018;Varicelle avec autres complications
B027;Zona disséminé
B03;Variole
B04;Monkeypox
B059;Rougeole (sans complication)
B069;Rubéole (sans complication)
B080;Autres infections à orthopoxvirus
B085;Pharyngite vésiculaire due à un entérovirus
B159;Hépatite A (sans coma hépatique)
B170;(Sur)infection aiguë par agent delta d'un sujet porteur de l'hépatite B
B188;Autres hépatites virales chroniques
B199;Hépatite virale, sans précision, (sans coma)
B204;Maladie par VIH à l'origine de candidose
B205;Maladie par VIH à l'origine d'autres mycoses
B207;Maladie par VIH à l'origine d'infections multiples
B209;Maladie par VIH à l'origine d'une maladie infectieuse ou parasitaire non précisée
B212;Maladie par VIH à l'origine d'autres lymphomes non hodgkiniens
B217;Maladie par VIH à l'origine de tumeurs malignes multiples
B218;Maladie par VIH à l'origine d'autres tumeurs malignes
B230;Syndrome d'infection aiguë par VIH
B24;Immunodéficience humaine virale [VIH], sans précision
B24+1;SIDA avéré sans précision
B259;Maladie à cytomégalovirus, sans précision
B270;Mononucléose due à herpèsvirus gamma
B278;Autres mononucléoses infectieuses
B309;Conjonctivite virale, sans précision
A000;Choléra à Vibrio cholerae 01, biovar cholerae
A001;Choléra à Vibrio cholerae 01, biovar El Tor
A014;Paratyphoïde, sans précision
A022;Infection localisée à Salmonella
A030;Shigellose à Shigella dysenteriae
A031;Shigellose à Shigella flexneri
A038;Autres shigelloses
A040;Infection entéropathogène à Escherichia coli
A043;Infection entéro-hémorragique à Escherichia coli
A044;Autres infections intestinales à Escherichia coli
A048;Autres infections intestinales bactériennes précisées
A049;Infection intestinale bactérienne, sans précision
A050;Intoxication alimentaire à staphylocoques
A051;Botulisme
A052;Intoxication alimentaire à Clostridium perfringens [Clostridium welchii]
A053;Intoxication alimentaire à Vibrio parahaemolyticus
A054;Intoxication alimentaire à Bacillus cereus
A058;Autres intoxications bactériennes d'origine alimentaire précisées
A059;Intoxication bactérienne d'origine alimentaire, sans précision
